timestamp,value,dayofweek,month,day,quarter,dayofyear,weekend,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,rolling_mean_7,rolling_std_7,rolling_mean_14,rolling_std_14,rolling_mean_30,rolling_std_30
2020-01-30,321.6009613692688,3,1,30,1,30,0,318.96660163474604,316.57626941305654,315.49714624199135,316.352524613406,318.14598317905734,319.69239946137026,320.3258204214877,318.1188408446995,2.1483857262180295,321.4328205783721,5.330150060764047,335.97288142070533,14.932916986624951
2020-01-31,323.1197704937521,4,1,31,1,31,0,321.6009613692688,318.96660163474604,316.57626941305654,315.49714624199135,316.352524613406,318.14598317905734,319.69239946137026,318.60846527789687,2.844540191527487,320.6387972307709,3.91674684780829,335.0760459135754,14.867673687621537
2020-02-01,323.3104982956382,5,2,1,1,32,1,323.1197704937521,321.6009613692688,318.96660163474604,316.57626941305654,315.49714624199135,316.352524613406,318.14598317905734,319.34625315169416,3.332500602360947,320.14132472230887,2.912129392055332,334.0981669681615,14.635091104796377
2020-02-02,322.54292409128595,6,2,2,1,33,1,323.3104982956382,323.1197704937521,321.6009613692688,318.96660163474604,316.57626941305654,315.49714624199135,316.352524613406,320.2305959342484,3.225296395271139,319.91489224346753,2.545781062357055,333.04714421513677,14.278941377602264
2020-02-03,322.2941111521133,0,2,3,1,34,0,322.54292409128595,323.3104982956382,323.1197704937521,321.6009613692688,318.96660163474604,316.57626941305654,315.49714624199135,321.20159092140875,2.5055921200949394,319.92882298749026,2.5591510334086944,331.9949222037412,13.848891831427688
2020-02-04,323.40491253544303,1,2,4,1,35,0,322.2941111521133,322.54292409128595,323.3104982956382,323.1197704937521,321.6009613692688,318.96660163474604,316.57626941305654,322.1771113674639,1.5528198719444315,320.13993349461725,2.722111584375981,331.02148685132926,13.368033733071012
2020-02-05,325.1742118553458,2,2,5,1,36,0,323.40491253544303,322.2941111521133,322.54292409128595,323.3104982956382,323.1197704937521,321.6009613692688,318.96660163474604,323.06391282754964,1.1282595823913029,320.50029533985446,3.0363741309713563,330.1348375343196,12.814832022392233
2020-02-06,326.7406713076378,3,2,6,1,37,0,325.1742118553458,323.40491253544303,322.2941111521133,322.54292409128595,323.3104982956382,323.1197704937521,321.6009613692688,323.79815710445945,1.5938601703587465,320.95849897457947,3.4621794486656117,329.28879781661453,12.132878186576201
2020-02-07,326.5360912718524,4,2,7,1,38,0,326.7406713076378,325.1742118553458,323.40491253544303,322.2941111521133,322.54292409128595,323.3104982956382,323.1197704937521,324.2862029299023,1.8534245544037482,321.44733410389966,3.741534196206337,328.403247836005,11.273939982088466
2020-02-08,324.5705771294729,5,2,8,1,39,1,326.5360912718524,326.7406713076378,325.1742118553458,323.40491253544303,322.2941111521133,322.54292409128595,323.3104982956382,324.46621419187875,1.8033827586043514,321.9062336717865,3.699225506446735,327.4346201336766,10.232020342127527
2020-02-09,321.5636407465099,6,2,9,1,40,1,324.5705771294729,326.5360912718524,326.7406713076378,325.1742118553458,323.40491253544303,322.2941111521133,322.54292409128595,324.32631657119646,2.0042465179797135,322.2784562527225,3.342379300263522,326.3981231922438,9.101203033253954
2020-02-10,318.74732154248056,0,2,10,1,41,0,321.5636407465099,324.5705771294729,326.5360912718524,326.7406713076378,325.1742118553458,323.40491253544303,322.2941111521133,323.8196323412489,2.866480098539747,322.5106116313288,2.9215076881058724,325.3662055559452,8.063349617653307
2020-02-11,316.9673537038974,1,2,11,1,42,0,318.74732154248056,321.5636407465099,324.5705771294729,326.5360912718524,326.7406713076378,325.1742118553458,323.40491253544303,322.8999810795995,3.876460366475904,322.53854622353174,2.8616571226353256,324.4060708697798,7.220716917740573
2020-02-12,316.05607010880533,2,2,12,1,43,0,316.9673537038974,318.74732154248056,321.5636407465099,324.5705771294729,326.5360912718524,326.7406713076378,325.1742118553458,321.5973894015223,4.471231113712545,322.33065111453595,3.223909266972258,323.53447004633534,6.544769029856236
2020-02-13,314.8949742109146,3,2,13,1,44,0,316.05607010880533,316.9673537038974,318.74732154248056,321.5636407465099,324.5705771294729,326.5360912718524,326.7406713076378,319.9051469591333,4.441746564662463,321.8516520317964,3.7892699184639898,322.7074012049128,5.973370933525258
2020-02-14,312.3310466330229,4,2,14,1,45,0,314.8949742109146,316.05607010880533,316.9673537038974,318.74732154248056,321.5636407465099,324.5705771294729,326.5360912718524,317.87585486787196,4.142182673385332,321.08102889888715,4.535171332855805,321.8408070587952,5.49564875426731
2020-02-15,308.3067752678154,5,2,15,1,46,1,312.3310466330229,314.8949742109146,316.05607010880533,316.9673537038974,318.74732154248056,321.5636407465099,324.5705771294729,315.5524546019209,4.318694255977115,320.00933439689976,5.612573397157787,320.88734794810654,5.2675417290571245
2020-02-16,303.6060836750393,6,2,16,1,47,1,308.3067752678154,312.3310466330229,314.8949742109146,316.05607010880533,316.9673537038974,318.74732154248056,321.5636407465099,312.9870893059965,5.3606660998839875,318.6567029385964,7.052254049031822,319.8663474919356,5.55177078373194
